source_dataset,source_file,id,match_number,stage_id,stage_name,stage_order,match_label,home_team_id,home_team_name,home_team_code,home_group_letter,home_is_placeholder,away_team_id,away_team_name,away_team_code,away_group_letter,away_is_placeholder,city_id,city_name,country,venue_name,region_cluster,airport_code,kickoff_at
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,73,73,2,Round of 32,2,2A vs 2B,,,,,,,,,,,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-28 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,74,74,2,Round of 32,2,1C vs 2F,,,,,,,,,,,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-29 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,75,75,2,Round of 32,2,1E vs 3ABCDF,,,,,,,,,,,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-29 16:30:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,76,76,2,Round of 32,2,1F vs 2C,,,,,,,,,,,16,Monterrey,Mexico,Estadio BBVA,Central,MTY,2026-06-29 21:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,77,77,2,Round of 32,2,2E vs 2I,,,,,,,,,,,3,Dallas,USA,AT&T Stadium,Central,DAL,2026-06-30 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,78,78,2,Round of 32,2,1I vs 3CDFGH,,,,,,,,,,,8,New York/New Jersey,USA,MetLife Stadium,East,EWR,2026-06-30 17:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,79,79,2,Round of 32,2,1A vs 3CEFHI,,,,,,,,,,,15,Mexico City,Mexico,Estadio Azteca,Central,MEX,2026-06-30 21:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,80,80,2,Round of 32,2,1L vs 3EHIJK,,,,,,,,,,,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,2026-07-01 12:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,81,81,2,Round of 32,2,1G vs 3AEHIJ,,,,,,,,,,,11,Seattle,USA,Lumen Field,West,SEA,2026-07-01 16:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,82,82,2,Round of 32,2,1D vs 3BEFIJ,,,,,,,,,,,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-07-01 20:00:00-07
