source_dataset,source_file,id,match_number,stage_id,stage_name,stage_order,match_label,home_team_id,home_team_name,home_team_code,home_group_letter,home_is_placeholder,away_team_id,away_team_name,away_team_code,away_group_letter,away_is_placeholder,city_id,city_name,country,venue_name,region_cluster,airport_code,kickoff_at
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,1,1,1,Group Stage,1,Group A,1,Mexico,MEX,A,False,2,South Africa,RSA,A,False,15,Mexico City,Mexico,Estadio Azteca,Central,MEX,2026-06-11 15:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,2,2,1,Group Stage,1,Group A,3,South Korea,KOR,A,False,4,Winner UEFA Playoff D,UEPD,A,True,14,Guadalajara,Mexico,Estadio Akron,Central,GDL,2026-06-11 22:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,3,3,1,Group Stage,1,Group B,5,Canada,CAN,B,False,6,Winner UEFA Playoff A,UEPA,B,True,12,Toronto,Canada,BMO Field,East,YYZ,2026-06-12 15:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,4,4,1,Group Stage,1,Group D,13,USA,USA,D,False,14,Paraguay,PAR,D,False,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-12 21:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,5,5,1,Group Stage,1,Group B,7,Qatar,QAT,B,False,8,Switzerland,SUI,B,False,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-06-13 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,6,6,1,Group Stage,1,Group C,9,Brazil,BRA,C,False,10,Morocco,MAR,C,False,8,New York/New Jersey,USA,MetLife Stadium,East,EWR,2026-06-13 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,7,7,1,Group Stage,1,Group C,11,Haiti,HAI,C,False,12,Scotland,SCO,C,False,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-13 21:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,8,8,1,Group Stage,1,Group D,15,Australia,AUS,D,False,16,Winner UEFA Playoff C,UEPC,D,True,13,Vancouver,Canada,BC Place,West,YVR,2026-06-14 00:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,9,9,1,Group Stage,1,Group E,17,Germany,GER,E,False,18,Curaçao,CUR,E,False,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-14 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,10,10,1,Group Stage,1,Group F,21,Netherlands,NED,F,False,22,Japan,JPN,F,False,3,Dallas,USA,AT&T Stadium,Central,DAL,2026-06-14 16:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,11,11,1,Group Stage,1,Group E,19,Côte d'Ivoire,CIV,E,False,20,Ecuador,ECU,E,False,9,Philadelphia,USA,Lincoln Financial Field,East,PHL,2026-06-14 19:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,12,12,1,Group Stage,1,Group F,23,Winner UEFA Playoff B,UEPB,F,True,24,Tunisia,TUN,F,False,16,Monterrey,Mexico,Estadio BBVA,Central,MTY,2026-06-14 22:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,13,13,1,Group Stage,1,Group H,29,Spain,ESP,H,False,30,Cabo Verde,CPV,H,False,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,2026-06-15 12:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,14,14,1,Group Stage,1,Group G,25,Belgium,BEL,G,False,26,Egypt,EGY,G,False,11,Seattle,USA,Lumen Field,West,SEA,2026-06-15 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,15,15,1,Group Stage,1,Group H,31,Saudi Arabia,KSA,H,False,32,Uruguay,URU,H,False,7,Miami,USA,Hard Rock Stadium,East,MIA,2026-06-15 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,16,16,1,Group Stage,1,Group G,27,IR Iran,IRN,G,False,28,New Zealand,NZL,G,False,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-15 21:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,17,17,1,Group Stage,1,Group I,33,France,FRA,I,False,34,Senegal,SEN,I,False,8,New York/New Jersey,USA,MetLife Stadium,East,EWR,2026-06-16 15:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,18,18,1,Group Stage,1,Group I,35,Winner FIFA Playoff 2,FP02,I,True,36,Norway,NOR,I,False,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-16 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,19,19,1,Group Stage,1,Group J,37,Argentina,ARG,J,False,38,Algeria,ALG,J,False,5,Kansas City,USA,Arrowhead Stadium,Central,MCI,2026-06-16 21:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,20,20,1,Group Stage,1,Group J,39,Austria,AUT,J,False,40,Jordan,JOR,J,False,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-06-17 00:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,21,21,1,Group Stage,1,Group K,41,Portugal,POR,K,False,42,Winner FIFA Playoff 1,FP01,K,True,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-17 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,22,22,1,Group Stage,1,Group L,45,England,ENG,L,False,46,Croatia,CRO,L,False,3,Dallas,USA,AT&T Stadium,Central,DAL,2026-06-17 16:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,23,23,1,Group Stage,1,Group L,47,Ghana,GHA,L,False,48,Panama,PAN,L,False,12,Toronto,Canada,BMO Field,East,YYZ,2026-06-17 19:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,24,24,1,Group Stage,1,Group K,43,Uzbekistan,UZB,K,False,44,Colombia,COL,K,False,15,Mexico City,Mexico,Estadio Azteca,Central,MEX,2026-06-17 22:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,25,25,1,Group Stage,1,Group A,4,Winner UEFA Playoff D,UEPD,A,True,2,South Africa,RSA,A,False,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,2026-06-18 12:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,26,26,1,Group Stage,1,Group B,8,Switzerland,SUI,B,False,6,Winner UEFA Playoff A,UEPA,B,True,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-18 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,27,27,1,Group Stage,1,Group B,5,Canada,CAN,B,False,7,Qatar,QAT,B,False,13,Vancouver,Canada,BC Place,West,YVR,2026-06-18 18:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,28,28,1,Group Stage,1,Group A,1,Mexico,MEX,A,False,3,South Korea,KOR,A,False,14,Guadalajara,Mexico,Estadio Akron,Central,GDL,2026-06-18 21:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,29,29,1,Group Stage,1,Group D,13,USA,USA,D,False,15,Australia,AUS,D,False,11,Seattle,USA,Lumen Field,West,SEA,2026-06-19 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,30,30,1,Group Stage,1,Group C,12,Scotland,SCO,C,False,10,Morocco,MAR,C,False,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-19 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,31,31,1,Group Stage,1,Group C,9,Brazil,BRA,C,False,11,Haiti,HAI,C,False,9,Philadelphia,USA,Lincoln Financial Field,East,PHL,2026-06-19 21:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,32,32,1,Group Stage,1,Group D,16,Winner UEFA Playoff C,UEPC,D,True,14,Paraguay,PAR,D,False,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-06-20 00:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,33,33,1,Group Stage,1,Group F,21,Netherlands,NED,F,False,23,Winner UEFA Playoff B,UEPB,F,True,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-20 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,34,34,1,Group Stage,1,Group E,17,Germany,GER,E,False,19,Côte d'Ivoire,CIV,E,False,12,Toronto,Canada,BMO Field,East,YYZ,2026-06-20 16:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,35,35,1,Group Stage,1,Group E,20,Ecuador,ECU,E,False,18,Curaçao,CUR,E,False,5,Kansas City,USA,Arrowhead Stadium,Central,MCI,2026-06-20 20:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,36,36,1,Group Stage,1,Group F,24,Tunisia,TUN,F,False,22,Japan,JPN,F,False,16,Monterrey,Mexico,Estadio BBVA,Central,MTY,2026-06-21 00:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,37,37,1,Group Stage,1,Group H,29,Spain,ESP,H,False,31,Saudi Arabia,KSA,H,False,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,2026-06-21 12:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,38,38,1,Group Stage,1,Group G,25,Belgium,BEL,G,False,27,IR Iran,IRN,G,False,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-21 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,39,39,1,Group Stage,1,Group H,32,Uruguay,URU,H,False,30,Cabo Verde,CPV,H,False,7,Miami,USA,Hard Rock Stadium,East,MIA,2026-06-21 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,40,40,1,Group Stage,1,Group G,28,New Zealand,NZL,G,False,26,Egypt,EGY,G,False,13,Vancouver,Canada,BC Place,West,YVR,2026-06-21 21:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,41,41,1,Group Stage,1,Group J,37,Argentina,ARG,J,False,39,Austria,AUT,J,False,3,Dallas,USA,AT&T Stadium,Central,DAL,2026-06-22 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,42,42,1,Group Stage,1,Group I,33,France,FRA,I,False,35,Winner FIFA Playoff 2,FP02,I,True,9,Philadelphia,USA,Lincoln Financial Field,East,PHL,2026-06-22 17:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,43,43,1,Group Stage,1,Group I,36,Norway,NOR,I,False,34,Senegal,SEN,I,False,8,New York/New Jersey,USA,MetLife Stadium,East,EWR,2026-06-22 20:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,44,44,1,Group Stage,1,Group J,40,Jordan,JOR,J,False,38,Algeria,ALG,J,False,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-06-22 23:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,45,45,1,Group Stage,1,Group K,41,Portugal,POR,K,False,43,Uzbekistan,UZB,K,False,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-23 13:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,46,46,1,Group Stage,1,Group L,45,England,ENG,L,False,47,Ghana,GHA,L,False,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-23 16:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,47,47,1,Group Stage,1,Group L,48,Panama,PAN,L,False,46,Croatia,CRO,L,False,12,Toronto,Canada,BMO Field,East,YYZ,2026-06-23 19:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,48,48,1,Group Stage,1,Group K,44,Colombia,COL,K,False,42,Winner FIFA Playoff 1,FP01,K,True,14,Guadalajara,Mexico,Estadio Akron,Central,GDL,2026-06-23 22:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,49,49,1,Group Stage,1,Group B,8,Switzerland,SUI,B,False,5,Canada,CAN,B,False,13,Vancouver,Canada,BC Place,West,YVR,2026-06-24 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,50,50,1,Group Stage,1,Group B,6,Winner UEFA Playoff A,UEPA,B,True,7,Qatar,QAT,B,False,11,Seattle,USA,Lumen Field,West,SEA,2026-06-24 15:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,51,51,1,Group Stage,1,Group C,12,Scotland,SCO,C,False,9,Brazil,BRA,C,False,7,Miami,USA,Hard Rock Stadium,East,MIA,2026-06-24 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,52,52,1,Group Stage,1,Group C,10,Morocco,MAR,C,False,11,Haiti,HAI,C,False,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,2026-06-24 18:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,53,53,1,Group Stage,1,Group A,4,Winner UEFA Playoff D,UEPD,A,True,1,Mexico,MEX,A,False,15,Mexico City,Mexico,Estadio Azteca,Central,MEX,2026-06-24 21:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,54,54,1,Group Stage,1,Group A,2,South Africa,RSA,A,False,3,South Korea,KOR,A,False,16,Monterrey,Mexico,Estadio BBVA,Central,MTY,2026-06-24 21:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,55,55,1,Group Stage,1,Group E,18,Curaçao,CUR,E,False,19,Côte d'Ivoire,CIV,E,False,9,Philadelphia,USA,Lincoln Financial Field,East,PHL,2026-06-25 16:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,56,56,1,Group Stage,1,Group E,20,Ecuador,ECU,E,False,17,Germany,GER,E,False,8,New York/New Jersey,USA,MetLife Stadium,East,EWR,2026-06-25 16:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,57,57,1,Group Stage,1,Group F,22,Japan,JPN,F,False,23,Winner UEFA Playoff B,UEPB,F,True,3,Dallas,USA,AT&T Stadium,Central,DAL,2026-06-25 19:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,58,58,1,Group Stage,1,Group F,24,Tunisia,TUN,F,False,21,Netherlands,NED,F,False,5,Kansas City,USA,Arrowhead Stadium,Central,MCI,2026-06-25 19:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,59,59,1,Group Stage,1,Group D,16,Winner UEFA Playoff C,UEPC,D,True,13,USA,USA,D,False,6,Los Angeles,USA,SoFi Stadium,West,LAX,2026-06-25 22:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,60,60,1,Group Stage,1,Group D,14,Paraguay,PAR,D,False,15,Australia,AUS,D,False,10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,2026-06-25 22:00:00-07
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,61,61,1,Group Stage,1,Group I,36,Norway,NOR,I,False,33,France,FRA,I,False,2,Boston,USA,Gillette Stadium,East,BOS,2026-06-26 15:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,62,62,1,Group Stage,1,Group I,34,Senegal,SEN,I,False,35,Winner FIFA Playoff 2,FP02,I,True,12,Toronto,Canada,BMO Field,East,YYZ,2026-06-26 15:00:00-04
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,63,63,1,Group Stage,1,Group H,30,Cabo Verde,CPV,H,False,31,Saudi Arabia,KSA,H,False,4,Houston,USA,NRG Stadium,Central,IAH,2026-06-26 20:00:00-05
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,64,64,1,Group Stage,1,Group H,32,Uruguay,URU,H,False,29,Spain,ESP,H,False,14,Guadalajara,Mexico,Estadio Akron,Central,GDL,2026-06-26 20:00:00-06
areezvisram12/fifa-world-cup-2026-match-data-unofficial,matches.csv,65,65,1,Group Stage,1,Group G,26,Egypt,EGY,G,False,27,IR Iran,IRN,G,False,11,Seattle,USA,Lumen Field,West,SEA,2026-06-26 23:00:00-07
