Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/feed,49,0,10,11.588189795976195,8.379499999136897,36.02870000031544,2260.0,0.4113586344064134,0.0,10,10,12,13,15,22,36,36,36,36,36
GET,GET /api/v1/leaderboard,57,0,3,4.079563158021509,2.172800001062569,7.581199999549426,82.29824561403508,0.47851922777888906,0.0,3,4,5,5,6,7,7,8,8,8,8
GET,GET /api/v1/markets,119,0,4,4.794929411784186,2.311599999302416,39.79529999924125,13158.0,0.9990138264155753,0.0,4,4,5,7,7,8,10,15,40,40,40
GET,GET /api/v1/markets/{slug},64,0,6,6.654068750066244,4.625100000339444,33.98840000045311,538.0,0.5372847469798052,0.0,6,6,7,7,8,8,9,34,34,34,34
GET,GET /api/v1/markets/{slug}/candles,81,0,9,23.2269283950262,7.43030000012368,1140.8345999989251,6383.0,0.680001007896316,0.0,9,9,9,10,12,12,15,1100,1100,1100,1100
GET,GET /api/v1/markets/{slug}/detail,100,0,9,21.87123600002451,8.249999998952262,1161.8840000010096,518.0,0.8395074171559457,0.0,9,10,10,10,13,21,37,1200,1200,1200,1200
GET,GET /api/v1/markets?sort=active,106,0,4,16.675641509535573,2.253099999506958,1220.4932000004192,9545.0,0.8898778621853024,0.0,4,5,9,9,10,10,12,12,1200,1200,1200
GET,GET /api/v1/portfolio (authed),52,0,7,7.758496153865753,5.941299999904004,35.749099999520695,251.0,0.43654385692109177,0.0,7,7,7,8,9,10,10,36,36,36,36
GET,GET /api/v1/portfolio/summary (authed),31,0,7,7.4113387101181525,5.532499999389984,17.453399999794783,107.0,0.2602472993183432,0.0,7,7,7,8,9,10,17,17,17,17,17
GET,GET /api/v1/signals,60,0,6,24.753374999878968,4.653100000723498,1121.4187999994465,1957.0,0.5037044502935674,0.0,6,6,6,7,8,9,17,1100,1100,1100,1100
GET,GET /api/v1/signals/feed,51,0,4,4.617311764591517,2.860099999452359,23.673300000154995,1956.313725490196,0.42814878274953233,0.0,4,5,6,6,6,7,8,24,24,24,24
POST,POST /api/v1/auth/signup (setup),15,0,1700,2245.9516800000224,1231.5263999989838,3766.6978999986895,206.0,0.12592611257339184,0.0,1700,2600,2800,3600,3700,3800,3800,3800,3800,3800,3800
,Aggregated,785,0,7,55.638331337616414,2.172800001062569,3766.6978999986895,4500.521019108281,6.590133224674173,0.0,7,8,9,9,10,14,1200,1700,3800,3800,3800
